Source,Target
"picoaza ",bonito
calle andres de vera,amistad
calle andres de vera,vecinos
mira flores,cerca
mira flores,lugar
mira flores,trabajo
los tamarindos,ninguna
picoaza el pedregal,madre
"la paz ",antiguedad
"la paz ",residencia
las 5 esquinas,tranquilidad
las 5 esquinas,estabilidad
las 5 esquinas,comodidad
cdla nuevo portoviejo,tranquilo
calle 28 de junio av ramos iduarte,familia
calle 28 de junio av ramos iduarte,vive
calle 28 de junio av ramos iduarte,cerca
"manta, la cumbre",buenos
"manta, la cumbre",vecinos
"manta, la cumbre",familia
"andres de vera, cdla  libertad 2",hermana
"andres de vera, cdla  libertad 2",vive
"andres de vera, cdla  libertad 2",serca
che gevara,amistad
che gevara,vinculo
che gevara,social
av. el ejercito y america,padres
ciudadela los tamarindos,seguridad
ciudad perdida,gusta
ciudad perdida,tranquilidad
iglesia pio noveno,sector
iglesia pio noveno,estrategico
iglesia pio noveno,cerca
victor vela,vive
victor vela,siempre
olivos ciudadela,tranquilo
bellavista,tranquilidad
bellavista,servicios
bellavista,basicos
villaflora,tranquilidad
via al rodeo - sitio al resbalon - rocafuerte,ninguna
andres de vera parque el mamey,deseo
andres de vera parque el mamey,tener
andres de vera parque el mamey,casa
andres de vera parque el mamey,propia
centro de la ciudad,voy
centro de la ciudad,ruido
"barrio sucre ",buena
"barrio sucre ",ubicacion
el progreso,tiempo
el progreso,15
el progreso,anos
el progreso,viviendo
el progreso,sector
"francisco pacheco ",cerca
reino de quito,familia
"cdla miraflores ",conocen
via a crucita,tranquilidad
el recreo,tranquilo
la tranca,ambiente
la tranca,campo
la tranca,ruidos
la tranca,coches
"calderon ",hijo
portoviejo,seguridad
portoviejo,familia
portoviejo,buen
portoviejo,sector
portoviejo,comodidades
portoviejo,cerca
portoviejo,siga
portoviejo,arrendando
portoviejo,gusta
portoviejo,lugar
portoviejo,tranquilo
portoviejo norte,lejos
portoviejo norte,lugar
portoviejo norte,trabajo
libertad,ser
libertad,centrico
floron 8,blanco
avenida reales tamarindos,sector
avenida reales tamarindos,acogedor
"la california ",seguridad
15 de abril,servicios
15 de abril,basicos
"lucha de los pobres ",seguridad
fatima,tranquilidad
"carapungo ",vivienda
"carapungo ",comodidades
floron #4,siento
floron #4,tranquilo
floron #4,seguro
av universitaria via a crucita,roban
av universitaria via a crucita,tranquilo
quicentro sur,centro
quicentro sur,comercial
floron 4,siento
floron 4,gusto
floron 4,vivo
calle 5 de junio sector las 3 cruces,compania
calle 5 de junio sector las 3 cruces,familia
calle 4 de septiembre via santana y colon,tranquilidad
cdla. san alejo,conforme
cdla. san alejo,barrio
cdla. san alejo,vive
cdla. san alejo,servicios
los cerezos,conocidos
los cerezos,amigos-familia
"el tomate ",tranquilidad
"urbano ",seguridad
"urbano ",cerca
floron- andres de vera- portoviejo- manabo,situacion
floron- andres de vera- portoviejo- manabo,extrema
pacheco,ubicacion
cdla los ceibos,tranquilidad
norte,cerca
norte,lugares
norte,frecuento
norte,puedo
norte,hacerlo
norte,caminando
norte,bicicleta
norte,siento
norte,segura
norte,ninguna
ciudadela vellavista,unidad
ciudadela vellavista,familiar
"los almendros ",blanco
che guevara sexta transversal,familia
che guevara sexta transversal,vive
che guevara sexta transversal,cerca
cdla. san gorge,familia
cdla. san gorge,tiempo
san francisco- via santa ana,madre
mamey,tener
mamey,mal
mamey,hecho
via manta - paso lateral,tranquilo
andres de vera vicente macias y chimborazo,cerca
andres de vera vicente macias y chimborazo,escuelita
andres de vera vicente macias y chimborazo,hijo
12 de marzo,tranquilo
12 de marzo,comonidad
12 de marzo,cercania
12 de marzo,universidad
chilligallo,familia
cristo rey y callejon luis villacreces,familia
urb. 13 de abril,familiares
"guabito, via a santana",familia
"che guevara ",tranquilidad
12 de obtubre,servicios
12 de obtubre,basicos
cdla los tamarindos,seguridad
las vegas,ninguna
cdla. nuevo portoviejo,gusta
urbanizacion alta vista,mientras
urbanizacion alta vista,tranquilidad
urbanizacion alta vista,seguridad
crucita,tener
crucita,lugar
crucita,vivir
"las orquideas ",familia
las penas,cerca
las penas,padres
el pedregal,evita
el pedregal,hacer
el pedregal,planos
ciudadela primero de mayo,tranquilo
ciudadela primero de mayo,buen
ciudadela primero de mayo,ambiente
"pintado ",encuentra
"pintado ",alrededor
ubr. ciudad jardin,blanco
comite del pueblo,economico
"manabi.. calderon avenida eloy alfaro. y cdla san francisco ",salir
"manabi.. calderon avenida eloy alfaro. y cdla san francisco ",arrendar
los mango portoviejo,lugar
los mango portoviejo,tranquilo
san jacinto ( las fragatas),familia
"el guabito ",pues
"el guabito ",seguridad
cdla.tamarindos,organizacion
cdla.tamarindos,seguridad
solanda,herencia
pinonada,terreno
"ciudadela universitaria 4ta etapa, calle portugal",tranquilidad
"avenida 15 de abril,andres de vera ,portoviejo",razon
"avenida 15 de abril,andres de vera ,portoviejo",moveria
"avenida 15 de abril,andres de vera ,portoviejo",sector
"avenida 15 de abril,andres de vera ,portoviejo",actual
mejia,vive
mejia,familia
los olivos,tranquilidad
los olivos,estadia
los olivos,costumbre
cdla. los pinos,tal
cdla. los pinos,vez
cdla. los pinos,ubicacion
"manabi ",lugar
"manabi ",seguro
nan,barrio
nan,tranquilo
cdla. municipal,tranquilidad
"los angeles, colon",tranquilo
calle pedro gual,ambiente
calle pedro gual,vecinos
calle pedro gual,comodidades
estancia vieja,ninguna
centro de portoviejo,bien
sambisa,dinero
"los olivos ",comunidad
san gabriel,tranquilidad
"calle 24 de diciembre ",agrada
los tamarindos 4 ta etapa,casa
los tamarindos 4 ta etapa,construyeron
los tamarindos 4 ta etapa,padres
"sector los mangos ",seguridad
cdla fatima,estudios
cdla fatima,hijos
cdla fatima,trabajo
pueblo nuevo,seguro
juan montalvo,familia
ciudadela primero de mayo y reales tamarindos,quiero
ciudadela primero de mayo y reales tamarindos,mover
ciudadela primero de mayo y reales tamarindos,sector
ciudadela pacheco ( calle 6 de octubre),tranquilidad
ciudadela pacheco ( calle 6 de octubre),gente
guabito-calle 30 de agosto,ninguna
america y universitaria,adaptacion
"miraflores alto ",quiero
"miraflores alto ",irme
"miraflores alto ",ninguna
calle. che guevara,familias
calderon,tranquilidad
calderon,confianza
"el batan ",seguridad
guayabo en la parroquia rio chico de portoviejo,tranquilidad
el banquito quininde,carino
cdla eloy alfaro del camino,buen
cdla eloy alfaro del camino,lugar
cdla eloy alfaro del camino,cerca
cdla eloy alfaro del camino,centro
cdla eloy alfaro del camino,vias
cdla eloy alfaro del camino,acceso
cdla eloy alfaro del camino,principal
cdla eloy alfaro del camino,pasan
cdla eloy alfaro del camino,transportes
cdla eloy alfaro del camino,provinciales
cdla eloy alfaro del camino,tranquilo
las acacias,sector
las acacias,conocido
ciudadela bellavista/portoviejo,familia
ciudadela bellavista/portoviejo,accesibilidad
ciudadela bellavista/portoviejo,diferentes
ciudadela bellavista/portoviejo,sitios
"crucita ",familia
las casas,compraria
las casas,casa
cdla primero de mayo,amigos
cdla primero de mayo,cercania
cdla primero de mayo,principalmente
cdla primero de mayo,trabajo
18 de octubre,condiciones
18 de octubre,adecuadas
"av. real ",ninguna
ciudadela las orquideas,familia
la sequita de crucita,confianza
"andres de vera ",comodidad
"andres de vera ",lugar
"andres de vera ",aqui
"andres de vera ",tranquilo
"andres de vera ",busco
"andres de vera ",privacidad
"andres de vera ",tener
"ciudadela familiar ",trabajo
"ciudadela familiar ",cerca
los esteros - manta,amigos
pisuli,tranquilidad
ciudadela universitaria,cerca
ciudadela universitaria,centro
ciudadela universitaria,comerciales
"ciudadela pacheco, av. guayaquil",seguridad
"ciudadela pacheco, av. guayaquil",vecinos
cdla las orquideas,gusta
cdla las orquideas,lugar
cdla las orquideas,vive
ajavi,familia
ajavi,trabajo
ajavi,casa
ajavi,propia
ajavi,pabimentar
ajavi,calles
"picoaza, sector del cementerio",familia
"picoaza, sector del cementerio",tranquilidad
"picoaza, sector del cementerio",entorno
"picoaza, sector del cementerio",natural
crucita-principal - parque central,lugar
crucita-principal - parque central,turistico
"cristo rey, la pacheco ",ninguna
av. universitaria,negocio
av. universitaria,cercania
av. universitaria,trabajo
calle 15 de abril cerca del parque mamey,familia
california,lugar
california,centrico
california,arriendo
california,economico
california,vecinos
"tamarindos ",casa
"tamarindos ",grande
rocafuerte,seguridad
rocafuerte,tranquilidad
av. guayaquil y eloy alfaro,comodidad
"ciudadela la paz ",centrico
"calle pedro carbo, barrio eloy alfaro",bien
"calle pedro carbo, barrio eloy alfaro",ubicado
12 de junio,blanco
canton junin,tranquilidad
chone,tranquilidad
via crucita ciudadela 13 de abril,recuerdo
calle ramon zambrano sector la mocora,seguridad
"por el colegio olmedo ",buenas
"por el colegio olmedo ",condiciones
ciudadela ibarra,barrio
ciudadela ibarra,segura
via a crucita 1km 1/2,costumbre
"el milagro de picoaza portoviejo ",vivo
"el milagro de picoaza portoviejo ",aca
las flores,etica
calle espana,tranquilidad
barrio las margaritas,centrico
"ciudadela del maestro ",venden
"ciudadela del maestro ",aqui
chillogallo,cercania
chillogallo,trabajo
chillogallo,gusta
chillogallo,tranquilo
rural,tranquilidad
rural,aire
rural,puro
rural,agricultura
rural,puede
rural,menos
rural,tener
rural,alimentos
"junin, velazco ibarra",lugar
"junin, velazco ibarra",tranquilo
via crucita km 4 1/5,cercano
calle 26 de septiembre,casa
"la ferrobravia ",tantos
"la ferrobravia ",anos
"la ferrobravia ",vividos
san alejo,amistades
san alejo,vecinos
san alejo,unidos
san alejo,seguridad
san alejo,trato
san alejo,casa
"caell 15 de abril, coliseo homero mendoza, andres de vera",familia
universitario,seguridad
universitario,amistad
universitario,afinidad
universitario,vecinos
cdla libertad,familiar
la bota,tranquilidad
via a calceta,familia
"comuna ",cerca
"comuna ",trabajo
ciudadela el maestro,seguro
ciudadela el maestro,gusta
ciudadela el maestro,lugar
ciudadela el maestro,vivo
guamuni,familia
parroquia 12 de marzo,comercial
parroquia 12 de marzo,cercania
parroquia 12 de marzo,trabajo
calle los pinos - via crucita - ciudadela san calletano,bonito
calle los pinos - via crucita - ciudadela san calletano,abierto
av. reales tamarindo - parroquia 18 de octubre,conozco
av. reales tamarindo - parroquia 18 de octubre,amigos
portoviejo centro,tranquilidad
cdl.modelo,tranquilidad
cdl.modelo,servicios
cdl.modelo,basicos
guabito,supuesto
guabito,quiero
guabito,salir
guabito,buena
guabito,convivencia
guabito,vecinos
"condado ",amistades
nuevo paraiso,familia
cdla. modelo ciudad de portoviejo,lugar
cdla. modelo ciudad de portoviejo,agradable
ciudadela portoviejo,comodidad
ciudadela portoviejo,sectorial
ciudadela portoviejo,residencia
las orquudeas,comodidad
avenida el ejercito,gented
"sector nuevo portoviejo, barrio 4 esquinas",vecindario
"sector nuevo portoviejo, barrio 4 esquinas",tranquilo
el tomate,costo
el tomate,construir
el tomate,casa
barrio el floron,familia
"sampablo ",deseo
"andres de vera, ciudadela libertad,calle america y avenida del ejercito",casa
"andres de vera, ciudadela libertad,calle america y avenida del ejercito",pesar
"andres de vera, ciudadela libertad,calle america y avenida del ejercito",ruido
"andres de vera, ciudadela libertad,calle america y avenida del ejercito",buena
"andres de vera, ciudadela libertad,calle america y avenida del ejercito",ubicacion
cdla. luz de america,zona
cdla. luz de america,tranquila
picoaza,ninguna
picoaza,costo
picoaza,hizo
picoaza,vida
picoaza,ahi
picoaza,lugar
picoaza,tranquilo
picoaza,costumbre
cdla la paz,ninguna
sector agua potable,cuenta
sector agua potable,servicios
sector agua potable,basicos
rocafuerte-sitio el cerecito,seguridad
portoviejo sector parque las vegas,zona
portoviejo sector parque las vegas,central
tunguragua entre colon y sucre,trabajo
forestal,familia
parque mamey,comodidad
espana y costa rica,cerca
espana y costa rica,colegio
espana y costa rica,estudio
espana y costa rica,hijo
"el guebito ",familia
hospital,ubicacion
"calle 15 de junio, canton 24 de mayo",familia
"calle 15 de junio, canton 24 de mayo",amigos
"avenida america, calle 5 de junio",familia
la gaspar,seguridad
la gaspar,sector
la kennedy,malas
la kennedy,vias
"12 de marzo ",tranquilidad
"rotonda ",urbanizacion
floron-medardo cevallos,tranquilidad
ciudadela san alejo,familia
san pablo,ninguna
san pablo,casa
san pablo,sector
san pablo,moveria
san pablo,agusto
san pablo,hijos
san pablo,aconsumbrados
argelia,ser
argelia,seguro
"ciudadelna ""cevallos juan pablo ii""",ahi
"ciudadelna ""cevallos juan pablo ii""",familia
negrital,seguridad
negrital,ninguna
los valles,trabajo
los rosales 5ta etapa,ubicacion
los rosales 5ta etapa,cerca
los rosales 5ta etapa,colegio
los rosales 5ta etapa,hija
los rosales 5ta etapa,trabajo
"san lorenzo ",trabajo
"calle pablo neruda, sector san cristobal",tranquilidad
rocafuerte av guayaquil,amistad
francisco pacheco,dinero
francisco pacheco,construir
"calle 11 de septiembre, via santa ana y colon",tranquilidad
"calle 11 de septiembre, via santa ana y colon",sector
guamani,desastre
guamani,natural
